source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
cancer cell line batch 180329	Homo sapiens	not available	neoplasm	not available	cell line	1	run 1	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	180329.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 180824	Homo sapiens	not available	neoplasm	not available	cell line	2	run 2	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	180824.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 180917	Homo sapiens	not available	neoplasm	not available	cell line	3	run 3	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	180917.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 180921	Homo sapiens	not available	neoplasm	not available	cell line	4	run 4	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	180921.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 181007	Homo sapiens	not available	neoplasm	not available	cell line	5	run 5	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	181007.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 181019	Homo sapiens	not available	neoplasm	not available	cell line	6	run 6	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	181019.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 181022	Homo sapiens	not available	neoplasm	not available	cell line	7	run 7	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	181022.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 181023	Homo sapiens	not available	neoplasm	not available	cell line	8	run 8	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	181023.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 181102	Homo sapiens	not available	neoplasm	not available	cell line	9	run 9	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	181102.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
cancer cell line batch 181127	Homo sapiens	not available	neoplasm	not available	cell line	10	run 10	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 6600;AC=MS:1002533	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	Data-independent acquisition	400	1200	25	SWATH-MS	181127.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	neoplasm
