source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
breast cancer cell line BR103	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR103	not available	BR103	1	run 1	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR103.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR107	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR107	not available	BR107	1	run 2	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR107.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR11	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR11	not available	BR11	1	run 3	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR11.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR110	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR110	not available	BR110	1	run 4	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR110.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR114	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR114	not available	BR114	1	run 5	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR114.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR121	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR121	not available	BR121	1	run 6	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR121.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR126	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR126	not available	BR126	1	run 7	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR126.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR129	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR129	not available	BR129	1	run 8	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR129.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR13	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR13	not available	BR13	1	run 9	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR13.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR132	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR132	not available	BR132	1	run 10	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR132.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR136	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR136	not available	BR136	1	run 11	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR136.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR143	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR143	not available	BR143	1	run 12	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR143.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR144	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR144	not available	BR144	1	run 13	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR144.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
breast cancer cell line BR145	Homo sapiens	breast	breast carcinoma	mammary gland epithelial cell	cell line	BR145	not available	BR145	1	run 14	proteomic profiling by mass spectrometry	1	1	label free sample	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not available	not available	Data-independent acquisition	400	1200	25	SWATH-MS	guot_K160125_sw_BR145.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	breast carcinoma
